Danny Ings,LIV,7.0,Knee injury - Unknown return date,Forward,"(SOU-H,CHE-A,CRY-H)","[Game vs. AVL H: 2 pts, Game vs. EVE A: 9 pts, Game vs. TOT A: 0 pts]",0.0,0.0,203,3.08225527654
Winston Reid,WHU,5.0,Back injury - Expected back 31 Oct,Defender,"(CHE-H,WAT-A,EVE-H)","[Game vs. NOR H: 1 pts, Game vs. SUN A: 0 pts, Game vs. CRY A: 0 pts]",75.0,0.0,469,3.07503614068
Nacer Chadli,TOT,6.8,Ankle injury - Expected back 05 Dec,Midfielder,"(BOU-A,AVL-H,ARS-A)","[Game vs. MCI H: 1 pts, Game vs. SWA A: 2 pts, Game vs. LIV H: 1 pts]",,0.0,338,3.07007579615
Santiago Cazorla,ARS,8.1,,Midfielder,"(EVE-H,SWA-A,TOT-H)","[Game vs. LEI A: 6 pts, Game vs. MUN H: 3 pts, Game vs. WAT A: 3 pts]",,,16,3.0492431075
Aaron Ramsey,ARS,8.2,Hamstring injury - Expected back 21 Nov,Midfielder,"(EVE-H,SWA-A,TOT-H)","[Game vs. LEI A: 2 pts, Game vs. MUN H: 3 pts, Game vs. WAT A: 8 pts]",,0.0,17,3.0492431075
Gabriel Armando de Abreu,ARS,4.9,,Defender,"(EVE-H,SWA-A,TOT-H)","[Game vs. LEI A: 0 pts, Game vs. MUN H: 6 pts, Game vs. WAT A: 0 pts]",100.0,100.0,6,3.04017977078
Russell Martin,NOR,4.7,,Defender,"(WBA-H,MCI-A,SWA-H)","[Game vs. WHU A: 1 pts, Game vs. LEI H: 1 pts, Game vs. NEW A: -1 pts]",,,279,3.02387539435
Arouna Koné,EVE,4.9,,Forward,"(ARS-A,SUN-H,WHU-A)","[Game vs. WBA A: 4 pts, Game vs. LIV H: 1 pts, Game vs. MUN H: 1 pts]",,,151,3.01753717178
Harry Kane,TOT,9.2,,Forward,"(BOU-A,AVL-H,ARS-A)","[Game vs. MCI H: 7 pts, Game vs. SWA A: 0 pts, Game vs. LIV H: 2 pts]",,,350,3.0103540092
Daniel Drinkwater,LEI,4.5,,Midfielder,"(CRY-H,WBA-A,WAT-H)","[Game vs. ARS H: 4 pts, Game vs. NOR A: 2 pts, Game vs. SOU A: 2 pts]",,,166,3.00254119023
Nathaniel Clyne,LIV,5.5,,Defender,"(SOU-H,CHE-A,CRY-H)","[Game vs. AVL H: 1 pts, Game vs. EVE A: 2 pts, Game vs. TOT A: 6 pts]",,,186,2.99547189898
Tim Krul,NEW,4.5,Knee injury - Unknown return date,Goalkeeper,"(SUN-A,STK-H,BOU-A)","[Game vs. CHE H: 1 pts, Game vs. MCI A: 0 pts, Game vs. NOR H: 0 pts]",0.0,0.0,252,2.99469212185
Jonathan Walters,STK,5.8,Groin Injury - 75% chance of playing,Midfielder,"(WAT-H,NEW-A,CHE-H)","[Game vs. BOU H: 10 pts, Game vs. AVL A: 3 pts, Game vs. SWA A: 0 pts]",100.0,75.0,365,2.99212073619
Phil Jagielka,EVE,5.4,,Defender,"(ARS-A,SUN-H,WHU-A)","[Game vs. WBA A: 1 pts, Game vs. LIV H: 2 pts, Game vs. MUN H: 1 pts]",,,131,2.98858325273
Kyle Naughton,SWA,5.0,,Defender,"(AVL-A,ARS-H,NOR-A)","[Game vs. SOU A: 1 pts, Game vs. TOT H: 0 pts, Game vs. STK H: 0 pts]",100.0,100.0,397,2.95202872798
Ashley Williams,SWA,5.0,,Defender,"(AVL-A,ARS-H,NOR-A)","[Game vs. SOU A: 1 pts, Game vs. TOT H: 1 pts, Game vs. STK H: 1 pts]",,,398,2.95202872798
Matteo Darmian,MUN,5.8,,Defender,"(MCI-H,CRY-A,WBA-H)","[Game vs. SUN H: 6 pts, Game vs. ARS A: -1 pts, Game vs. EVE A: 6 pts]",,,495,2.94103105341
Gylfi Sigurdsson,SWA,7.3,,Midfielder,"(AVL-A,ARS-H,NOR-A)","[Game vs. SOU A: 8 pts, Game vs. TOT H: 2 pts, Game vs. STK H: 1 pts]",,,407,2.91536626933
Simon Francis,BOU,4.5,,Defender,"(TOT-H,SOU-A,NEW-H)","[Game vs. STK A: 1 pts, Game vs. WAT H: 2 pts, Game vs. MCI A: 0 pts]",,,57,2.9030863111
Lukasz Fabianski,SWA,5.0,,Goalkeeper,"(AVL-A,ARS-H,NOR-A)","[Game vs. SOU A: 2 pts, Game vs. TOT H: 4 pts, Game vs. STK H: 2 pts]",,,395,2.87885975864
Bradley Guzan,AVL,4.5,,Goalkeeper,"(SWA-H,TOT-A,MCI-H)","[Game vs. LIV A: 4 pts, Game vs. STK H: 3 pts, Game vs. CHE A: 1 pts]",,,30,2.87364315173
Daley Blind,MUN,5.5,,Midfielder,"(MCI-H,CRY-A,WBA-H)","[Game vs. SUN H: 3 pts, Game vs. ARS A: 2 pts, Game vs. EVE A: 0 pts]",,,246,2.87125467321
Heung-Min Son,TOT,8.0,Foot injury - Unknown return date,Forward,"(BOU-A,AVL-H,ARS-A)","[Game vs. MCI H: 2 pts, Game vs. SWA A: 0 pts, Game vs. LIV H: 0 pts]",0.0,0.0,570,2.85573122537
Geoff Cameron,STK,4.5,,Defender,"(WAT-H,NEW-A,CHE-H)","[Game vs. BOU H: 2 pts, Game vs. AVL A: 6 pts, Game vs. SWA A: 7 pts]",,,357,2.8536183632
Diego Da Silva Costa,CHE,11.0,,Forward,"(WHU-A,LIV-H,STK-A)","[Game vs. NEW A: 0 pts, Game vs. SOU H: 0 pts, Game vs. AVL H: 12 pts]",100.0,100.0,98,2.84584126989
Artur Boruc,BOU,4.5,Thigh injury - 50% chance of playing,Goalkeeper,"(TOT-H,SOU-A,NEW-H)","[Game vs. STK A: 2 pts, Game vs. WAT H: 2 pts, Game vs. MCI A: 0 pts]",,50.0,55,2.84336246359
Matt Targett,SOU,4.1,,Defender,"(LIV-A,BOU-H,SUN-A)","[Game vs. SWA H: 0 pts, Game vs. CHE A: 0 pts, Game vs. LEI H: 0 pts]",,,304,2.81384424065
Etienne Capoue,WAT,4.8,,Midfielder,"(STK-A,WHU-H,LEI-A)","[Game vs. CRY H: 2 pts, Game vs. BOU A: 2 pts, Game vs. ARS H: 2 pts]",,,339,2.78678389074
Massadio Haidara,NEW,4.5,,Defender,"(SUN-A,STK-H,BOU-A)","[Game vs. CHE H: 0 pts, Game vs. MCI A: 0 pts, Game vs. NOR H: 1 pts]",100.0,100.0,257,2.7645840501
Chris Brunt,WBA,5.2,,Midfielder,"(NOR-A,LEI-H,MUN-A)","[Game vs. EVE H: 5 pts, Game vs. CRY A: 2 pts, Game vs. SUN H: 6 pts]",100.0,100.0,457,2.7624169394
Wilfried Bony,MCI,8.3,,Forward,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 0 pts, Game vs. NEW H: 1 pts, Game vs. BOU H: 16 pts]",100.0,100.0,224,2.75816152237
Gareth McAuley,WBA,5.0,,Defender,"(NOR-A,LEI-H,MUN-A)","[Game vs. EVE H: 0 pts, Game vs. CRY A: 1 pts, Game vs. SUN H: 8 pts]",100.0,100.0,452,2.75131517834
Daniel Sturridge,LIV,10.6,Knee injury - 50% chance of playing,Forward,"(SOU-H,CHE-A,CRY-H)","[Game vs. AVL H: 13 pts, Game vs. EVE A: 2 pts, Game vs. TOT A: 0 pts]",100.0,50.0,199,2.74892194321
Erik Lamela,TOT,6.8,,Midfielder,"(BOU-A,AVL-H,ARS-A)","[Game vs. MCI H: 12 pts, Game vs. SWA A: 1 pts, Game vs. LIV H: 2 pts]",,,340,2.73674246282
Bamidele Alli,TOT,4.9,,Midfielder,"(BOU-A,AVL-H,ARS-A)","[Game vs. MCI H: 1 pts, Game vs. SWA A: 9 pts, Game vs. LIV H: 3 pts]",,,348,2.73674246282
Costel Pantilimon,SUN,4.8,,Goalkeeper,"(NEW-H,EVE-A,SOU-H)","[Game vs. MUN A: 2 pts, Game vs. WHU H: 2 pts, Game vs. WBA A: 1 pts]",,,375,2.71475038236
Steven Naismith,EVE,5.3,,Forward,"(ARS-A,SUN-H,WHU-A)","[Game vs. WBA A: 1 pts, Game vs. LIV H: 2 pts, Game vs. MUN H: 1 pts]",,,150,2.68420383845
Pape Souaré,CRY,4.6,,Defender,"(LEI-A,MUN-H,LIV-A)","[Game vs. WAT A: 6 pts, Game vs. WBA H: 5 pts, Game vs. WHU H: 1 pts]",,,109,2.67498562723
John Stones,EVE,5.5,,Defender,"(ARS-A,SUN-H,WHU-A)","[Game vs. WBA A: 0 pts, Game vs. LIV H: 0 pts, Game vs. MUN H: 1 pts]",75.0,100.0,132,2.6552499194
Ander Herrera,MUN,6.6,,Midfielder,"(MCI-H,CRY-A,WBA-H)","[Game vs. SUN H: 0 pts, Game vs. ARS A: 0 pts, Game vs. EVE A: 14 pts]",100.0,100.0,244,2.64903245099
